Time,Time Code,Country Name,Country Code,Official entrance age to primary education (years) [SE.PRM.AGES]
2012,YR2012,Afghanistan,AFG,7
2012,YR2012,Albania,ALB,6
2012,YR2012,Algeria,DZA,6
2012,YR2012,American Samoa,ASM,6
2012,YR2012,Andorra,AND,6
2012,YR2012,Angola,AGO,6
2012,YR2012,Antigua and Barbuda,ATG,5
2012,YR2012,Arab World,ARB,..
2012,YR2012,Argentina,ARG,6
2012,YR2012,Armenia,ARM,6
2012,YR2012,Aruba,ABW,6
2012,YR2012,Australia,AUS,5
2012,YR2012,Austria,AUT,6
2012,YR2012,Azerbaijan,AZE,6
2012,YR2012,"Bahamas, The",BHS,5
2012,YR2012,Bahrain,BHR,6
2012,YR2012,Bangladesh,BGD,6
2012,YR2012,Barbados,BRB,5
2012,YR2012,Belarus,BLR,6
2012,YR2012,Belgium,BEL,6
2012,YR2012,Belize,BLZ,5
2012,YR2012,Benin,BEN,6
2012,YR2012,Bermuda,BMU,5
2012,YR2012,Bhutan,BTN,6
2012,YR2012,Bolivia,BOL,6
2012,YR2012,Bosnia and Herzegovina,BIH,6
2012,YR2012,Botswana,BWA,6
2012,YR2012,Brazil,BRA,7
2012,YR2012,British Virgin Islands,VGB,5
2012,YR2012,Brunei Darussalam,BRN,6
2012,YR2012,Bulgaria,BGR,7
2012,YR2012,Burkina Faso,BFA,6
2012,YR2012,Burundi,BDI,7
2012,YR2012,Cabo Verde,CPV,6
2012,YR2012,Cambodia,KHM,6
2012,YR2012,Cameroon,CMR,6
2012,YR2012,Canada,CAN,6
2012,YR2012,Caribbean small states,CSS,..
2012,YR2012,Cayman Islands,CYM,5
2012,YR2012,Central African Republic,CAF,6
2012,YR2012,Central Europe and the Baltics,CEB,..
2012,YR2012,Chad,TCD,6
2012,YR2012,Channel Islands,CHI,..
2012,YR2012,Chile,CHL,6
2012,YR2012,China,CHN,6
2012,YR2012,Colombia,COL,6
2012,YR2012,Comoros,COM,6
2012,YR2012,"Congo, Dem. Rep.",COD,6
2012,YR2012,"Congo, Rep.",COG,6
2012,YR2012,Costa Rica,CRI,6
2012,YR2012,Cote d'Ivoire,CIV,6
2012,YR2012,Croatia,HRV,7
2012,YR2012,Cuba,CUB,6
2012,YR2012,Curacao,CUW,6
2012,YR2012,Cyprus,CYP,6
2012,YR2012,Czech Republic,CZE,6
2012,YR2012,Denmark,DNK,6
2012,YR2012,Djibouti,DJI,6
2012,YR2012,Dominica,DMA,5
2012,YR2012,Dominican Republic,DOM,6
2012,YR2012,Early-demographic dividend,EAR,..
2012,YR2012,East Asia & Pacific,EAS,..
2012,YR2012,East Asia & Pacific (excluding high income),EAP,..
2012,YR2012,East Asia & Pacific (IDA & IBRD countries),TEA,..
2012,YR2012,Ecuador,ECU,6
2012,YR2012,"Egypt, Arab Rep.",EGY,6
2012,YR2012,El Salvador,SLV,7
2012,YR2012,Equatorial Guinea,GNQ,7
2012,YR2012,Eritrea,ERI,7
2012,YR2012,Estonia,EST,7
2012,YR2012,Eswatini,SWZ,6
2012,YR2012,Ethiopia,ETH,7
2012,YR2012,Euro area,EMU,..
2012,YR2012,Europe & Central Asia,ECS,..
2012,YR2012,Europe & Central Asia (excluding high income),ECA,..
2012,YR2012,Europe & Central Asia (IDA & IBRD countries),TEC,..
2012,YR2012,European Union,EUU,..
2012,YR2012,Faroe Islands,FRO,..
2012,YR2012,Fiji,FJI,6
2012,YR2012,Finland,FIN,7
2012,YR2012,Fragile and conflict affected situations,FCS,..
2012,YR2012,France,FRA,6
2012,YR2012,French Polynesia,PYF,..
2012,YR2012,Gabon,GAB,6
2012,YR2012,"Gambia, The",GMB,7
2012,YR2012,Georgia,GEO,6
2012,YR2012,Germany,DEU,6
2012,YR2012,Ghana,GHA,6
2012,YR2012,Gibraltar,GIB,5
2012,YR2012,Global Partnership for Education,FTI,..
2012,YR2012,Greece,GRC,6
2012,YR2012,Greenland,GRL,..
2012,YR2012,Grenada,GRD,5
2012,YR2012,Guam,GUM,..
2012,YR2012,Guatemala,GTM,7
2012,YR2012,Guinea,GIN,7
2012,YR2012,Guinea-Bissau,GNB,6
2012,YR2012,Guyana,GUY,6
2012,YR2012,Haiti,HTI,6
2012,YR2012,Heavily indebted poor countries (HIPC),HPC,..
2012,YR2012,High income,HIC,..
2012,YR2012,Honduras,HND,6
2012,YR2012,"Hong Kong SAR, China",HKG,6
2012,YR2012,Hungary,HUN,7
2012,YR2012,IBRD only,IBD,..
2012,YR2012,Iceland,ISL,6
2012,YR2012,IDA & IBRD total,IBT,..
2012,YR2012,IDA blend,IDB,..
2012,YR2012,IDA only,IDX,..
2012,YR2012,IDA total,IDA,..
2012,YR2012,India,IND,6
2012,YR2012,Indonesia,IDN,7
2012,YR2012,"Iran, Islamic Rep.",IRN,6
2012,YR2012,Iraq,IRQ,6
2012,YR2012,Ireland,IRL,5
2012,YR2012,Isle of Man,IMN,..
2012,YR2012,Israel,ISR,6
2012,YR2012,Italy,ITA,6
2012,YR2012,Jamaica,JAM,6
2012,YR2012,Japan,JPN,6
2012,YR2012,Jordan,JOR,6
2012,YR2012,Kazakhstan,KAZ,7
2012,YR2012,Kenya,KEN,6
2012,YR2012,Kiribati,KIR,6
2012,YR2012,"Korea, Dem. People’s Rep.",PRK,7
2012,YR2012,"Korea, Rep.",KOR,6
2012,YR2012,Kosovo,XKX,..
2012,YR2012,Kuwait,KWT,6
2012,YR2012,Kyrgyz Republic,KGZ,7
2012,YR2012,Lao PDR,LAO,6
2012,YR2012,Late-demographic dividend,LTE,..
2012,YR2012,Latin America & Caribbean,LCN,..
2012,YR2012,Latin America & Caribbean (excluding high income),LAC,..
2012,YR2012,Latin America & the Caribbean (IDA & IBRD countries),TLA,..
2012,YR2012,Latvia,LVA,7
2012,YR2012,Least developed countries: UN classification,LDC,..
2012,YR2012,Lebanon,LBN,6
2012,YR2012,Lending category not classified,LNX,..
2012,YR2012,Lesotho,LSO,6
2012,YR2012,Liberia,LBR,6
2012,YR2012,Libya,LBY,6
2012,YR2012,Liechtenstein,LIE,7
2012,YR2012,Lithuania,LTU,7
2012,YR2012,Low & middle income,LMY,..
2012,YR2012,Low income,LIC,..
2012,YR2012,Lower middle income,LMC,..
2012,YR2012,Luxembourg,LUX,6
2012,YR2012,"Macao SAR, China",MAC,6
2012,YR2012,Madagascar,MDG,6
2012,YR2012,Malawi,MWI,6
2012,YR2012,Malaysia,MYS,6
2012,YR2012,Maldives,MDV,6
2012,YR2012,Mali,MLI,7
2012,YR2012,Malta,MLT,5
2012,YR2012,Marshall Islands,MHL,6
2012,YR2012,Mauritania,MRT,6
2012,YR2012,Mauritius,MUS,5
2012,YR2012,Mayotte,MYT,..
2012,YR2012,Mexico,MEX,6
2012,YR2012,"Micronesia, Fed. Sts.",FSM,6
2012,YR2012,Middle East & North Africa,MEA,..
2012,YR2012,Middle East & North Africa (excluding high income),MNA,..
2012,YR2012,Middle East & North Africa (IDA & IBRD countries),TMN,..
2012,YR2012,Middle income,MIC,..
2012,YR2012,Moldova,MDA,7
2012,YR2012,Monaco,MCO,6
2012,YR2012,Mongolia,MNG,6
2012,YR2012,Montenegro,MNE,6
2012,YR2012,Morocco,MAR,6
2012,YR2012,Mozambique,MOZ,6
2012,YR2012,Myanmar,MMR,5
2012,YR2012,Namibia,NAM,7
2012,YR2012,Nauru,NRU,6
2012,YR2012,Nepal,NPL,5
2012,YR2012,Netherlands,NLD,6
2012,YR2012,Netherlands Antilles,ANT,6
2012,YR2012,New Caledonia,NCL,6
2012,YR2012,New Zealand,NZL,5
2012,YR2012,Nicaragua,NIC,6
2012,YR2012,Niger,NER,7
2012,YR2012,Nigeria,NGA,6
2012,YR2012,North America,NAC,..
2012,YR2012,North Macedonia,MKD,6
2012,YR2012,Northern Mariana Islands,MNP,..
2012,YR2012,Norway,NOR,6
2012,YR2012,OECD members,OED,..
2012,YR2012,Oman,OMN,6
2012,YR2012,Other small states,OSS,..
2012,YR2012,Pacific island small states,PSS,..
2012,YR2012,Pakistan,PAK,5
2012,YR2012,Palau,PLW,6
2012,YR2012,Panama,PAN,6
2012,YR2012,Papua New Guinea,PNG,7
2012,YR2012,Paraguay,PRY,6
2012,YR2012,Peru,PER,6
2012,YR2012,Philippines,PHL,6
2012,YR2012,Poland,POL,7
2012,YR2012,Portugal,PRT,6
2012,YR2012,Post-demographic dividend,PST,..
2012,YR2012,Pre-demographic dividend,PRE,..
2012,YR2012,Puerto Rico,PRI,6
2012,YR2012,Qatar,QAT,6
2012,YR2012,Romania,ROU,7
2012,YR2012,Russian Federation,RUS,7
2012,YR2012,Rwanda,RWA,7
2012,YR2012,Samoa,WSM,5
2012,YR2012,San Marino,SMR,6
2012,YR2012,Sao Tome and Principe,STP,6
2012,YR2012,Saudi Arabia,SAU,6
2012,YR2012,Senegal,SEN,6
2012,YR2012,Serbia,SRB,7
2012,YR2012,Seychelles,SYC,6
2012,YR2012,Sierra Leone,SLE,6
2012,YR2012,Singapore,SGP,6
2012,YR2012,Sint Maarten (Dutch part),SXM,6
2012,YR2012,Slovak Republic,SVK,6
2012,YR2012,Slovenia,SVN,6
2012,YR2012,Small states,SST,..
2012,YR2012,Solomon Islands,SLB,6
2012,YR2012,Somalia,SOM,6
2012,YR2012,South Africa,ZAF,7
2012,YR2012,South Asia,SAS,..
2012,YR2012,South Asia (IDA & IBRD),TSA,..
2012,YR2012,South Sudan,SSD,6
2012,YR2012,Spain,ESP,6
2012,YR2012,Sri Lanka,LKA,5
2012,YR2012,St. Kitts and Nevis,KNA,5
2012,YR2012,St. Lucia,LCA,5
2012,YR2012,St. Martin (French part),MAF,..
2012,YR2012,St. Vincent and the Grenadines,VCT,5
2012,YR2012,Sub-Saharan Africa,SSF,..
2012,YR2012,Sub-Saharan Africa (excluding high income),SSA,..
2012,YR2012,Sub-Saharan Africa (IDA & IBRD countries),TSS,..
2012,YR2012,Sudan,SDN,6
2012,YR2012,Suriname,SUR,6
2012,YR2012,Sweden,SWE,7
2012,YR2012,Switzerland,CHE,7
2012,YR2012,Syrian Arab Republic,SYR,6
2012,YR2012,Tajikistan,TJK,7
2012,YR2012,Tanzania,TZA,7
2012,YR2012,Thailand,THA,6
2012,YR2012,Timor-Leste,TLS,6
2012,YR2012,Togo,TGO,6
2012,YR2012,Tokelau,TKL,5
2012,YR2012,Tonga,TON,6
2012,YR2012,Trinidad and Tobago,TTO,5
2012,YR2012,Tunisia,TUN,6
2012,YR2012,Turkey,TUR,6
2012,YR2012,Turkmenistan,TKM,7
2012,YR2012,Turks and Caicos Islands,TCA,6
2012,YR2012,Tuvalu,TUV,6
2012,YR2012,Uganda,UGA,6
2012,YR2012,Ukraine,UKR,6
2012,YR2012,United Arab Emirates,ARE,6
2012,YR2012,United Kingdom,GBR,5
2012,YR2012,United States,USA,6
2012,YR2012,Upper middle income,UMC,..
2012,YR2012,Uruguay,URY,6
2012,YR2012,Uzbekistan,UZB,7
2012,YR2012,Vanuatu,VUT,6
2012,YR2012,"Venezuela, RB",VEN,6
2012,YR2012,Vietnam,VNM,6
2012,YR2012,Virgin Islands (U.S.),VIR,6
2012,YR2012,West Bank and Gaza,PSE,6
2012,YR2012,World,WLD,..
2012,YR2012,"Yemen, Rep.",YEM,6
2012,YR2012,Zambia,ZMB,7
2012,YR2012,Zimbabwe,ZWE,6
,,,,
,,,,
,,,,
Data from database: Education Statistics - All Indicators,,,,
Last Updated: 12/20/2020,,,,
